title,description,user_id,customer_id,status,priority,due_date,completed_at
gfbdfbdbgdfbgbfdbgf,fdbdbdgbdg,16,192,on_hold,medium,2025-03-22,
gfbdfbdbgdfb,gdbdgbdgb,62,56,on_hold,medium,2025-03-22,
bggfbdfbgdg,bfgfbdfbdg,19,17,in_progress,low,2025-03-22,
gbddfb,dfbdbgdb,62,57,in_progress,high,2025-03-22,
fdvsfddfsbfsb,gfbgfdbergrebttb,29,106,in_progress,medium,2025-03-22,
vdfsvsdfvsv,sdfvsdfvsdfv,16,128,planning,medium,2025-03-22,
avsd,dsvfdsvsdvsf,56,106,in_progress,medium,2025-03-22,
dsvdsvsdfsbgdfbdfmmm,fdbbgffgbfg,16,17,in_progress,medium,2025-03-20,
dsvdsvsdfsbgdfbdf,fdbbgffgbfg,16,56,in_progress,medium,2025-03-19,
dsvdsvs,fdbbgffgbfg,16,66,in_progress,medium,2025-03-20,
"iure quaerat dolor","Vitae quia quia corrupti et. Consequatur aut consequatur est tempora minima. Ea sint quisquam voluptatem velit ipsam.",95,64,in_progress,medium,2025-03-28,
"assumenda cum et","Delectus blanditiis distinctio magni ullam. Rerum sunt aut voluptatem voluptates praesentium. Nulla occaecati quia repellendus quam cumque.",44,63,on_hold,high,2025-03-27,
"sunt unde perspiciatis","Consequuntur asperiores placeat asperiores. Ut nisi ab ducimus itaque. Eveniet ducimus et voluptatem in rerum non ullam.",47,193,planning,critical,2025-03-31,
"sint cum voluptas","Error perferendis nobis et. Officiis at sapiente qui amet consequatur iusto impedit eaque. Totam et eum facilis sint illum labore aliquid.",52,95,planning,low,2025-03-28,
"quaerat ipsa nobis","Est hic hic dolores et sed. Amet maiores dolorem omnis doloremque. Animi voluptate voluptates reiciendis veritatis maxime laudantium.",22,139,completed,low,2025-03-29,"2025-03-11 17:37:04"
"recusandae in dolorem","Qui accusantium mollitia dolorum ea voluptates ex. Blanditiis cum ut expedita illum totam voluptatem. Itaque omnis nostrum ut qui placeat.",44,165,completed,low,2025-03-29,"2025-03-10 00:35:40"
